created,url,wbanno,lst_date,date,lon,lat,temp,max_temp,min_temp,precip,rad,max_rad,min_rad,rh,hours_included
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100228,2/28/10,-81.78,40.37,-0.2,1.5,-2,0,74,344,0,85,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100301,3/1/10,-81.78,40.37,0.7,2.7,-1.3,0,107,495,0,78,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100302,3/2/10,-81.78,40.37,-2.6,-1.1,-4,0,57,226,0,86,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100303,3/3/10,-81.78,40.37,-1.3,0.8,-2.7,0,116,500,0,80,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100304,3/4/10,-81.78,40.37,-1.9,1.9,-5.9,0,223,790,0,67,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100305,3/5/10,-81.78,40.37,-1.9,2.4,-5.7,0,219,787,0,75,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100306,3/6/10,-81.78,40.37,-1.5,3.2,-6,0,235,806,0,67,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100307,3/7/10,-81.78,40.37,0.7,6.6,-5.5,0,235,809,0,56,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100308,3/8/10,-81.78,40.37,2.9,8.9,-3.7,0,228,794,0,62,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100309,3/9/10,-81.78,40.37,6.1,12.5,-0.2,0,218,784,0,60,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100310,3/10/10,-81.78,40.37,10.7,15.3,6.5,0,128,502,0,59,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100311,3/11/10,-81.78,40.37,13.2,19.7,7.6,0,168,704,0,70,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100312,3/12/10,-81.78,40.37,14,19.4,11,0.8,104,511,0,79,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100313,3/13/10,-81.78,40.37,8.5,10.6,6.7,10.7,21,107,0,89,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100314,3/14/10,-81.78,40.37,5.9,7.4,3.8,4.2,35,187,0,95,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100315,3/15/10,-81.78,40.37,4,5.7,2.1,0,44,168,0,91,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100316,3/16/10,-81.78,40.37,8,13.3,3.1,0,235,770,0,60,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100317,3/17/10,-81.78,40.37,9,15.5,2.3,0,249,833,0,35,24
2/10/13 13:42,http://www1.ncdc.noaa.gov/pub/data/uscrn/products/hourly02/2010/CRNH0203-2010-OH_Coshocton_8_NNE.txt,54851,20100318,3/18/10,-81.78,40.37,10.6,17.2,3.1,0,249,828,0,32,24
